Traj Residuals
25 0.09155044141703315
49 1.1235521282495704
11 0.016896174668201258
17 0.03729397262864387
3 0.21781111230716155
22 0.49219507221076775
19 0.13035874498326683
46 0.030817968818629193
10 0.16150582734761887
6 0.09087668060101528
45 0.02896557673628042
26 0.07290371136009055
24 0.026151556062026682
47 0.07285592319632173
13 0.1299575010617544
21 0.02332194557724865
9 0.010418214519663849
1 0.06348139215779147
18 0.10791367655949236
5 0.16004100789173092
2 0.09929880610164865
39 0.4883175319647597
31 0.047357002476819954
36 0.16091445626774137
28 0.00703822350466865
29 0.04306479438969957
7 0.009423052492936623
42 0.15465754589000058
27 0.02595572089318754
20 0.046653847457577946
33 0.11352580145226465
32 0.4150732661071217
41 0.00939781610021928
12 0.059287084762026154
14 0.042333480863740114
35 0.05031188165249745
16 0.032474190126873914
43 0.025214432041802404
0 0.3043188355483517
44 0.007635607349434359
4 0.07153089336237617
48 0.1383209485125585
40 0.02936053701647623
30 0.011425822131928776
38 0.04463261255224005
23 0.03579894513852988
8 0.2991330382116555
34 0.12561176281399344
37 0.09540438532518625
15 0.318272687100019
